ConID,Time,Position,Char,IsNPC,NPCType,TextID,Map,MapPosition
47,4,광장,0,0,x,Con_47,0,x
48,4,광장,0,0,x,Con_48,0,x
49,4,광장,0,0,x,Con_49,0,x
50,4,광장,0,0,x,Con_50,1,거울의 미로
51,4,거울의 미로,0,0,x,Con_51,0,x
52,4,거울의 미로,0,0,x,Con_52,0,x
53,4,거울의 미로,0,0,x,Con_53,0,x
54,5,거울의 미로,0,0,x,Con_54,0,x
55,5,상실,0,0,x,Con_55,0,x
56,5,상실,0,0,x,Con_56,0,x
57,5,상실,0,0,x,Con_57,0,x
58,5,비명,0,0,x,Con_58,0,x
59,5,합류,0,0,x,Con_59,0,x
60,5,합류,0,0,x,Con_60,0,x
61,5,합류,0,0,x,Con_61,0,x
62,5,합류,0,0,x,Con_62,0,x
63,5,모방,0,0,x,Con_63,0,x
64,5,모방,0,0,x,Con_64,0,x
65,5,모방,0,0,x,Con_65,0,x
66,5,모방,0,0,x,Con_66,0,x
67,5,모방,0,0,x,Con_67,0,x
68,5,기습,0,0,x,Con_68,0,x
69,5,기습,0,0,x,Con_69,0,x
70,5,기습,0,0,x,Con_70,0,x
71,5,기습,0,0,x,Con_71,0,x
72,5,기습,0,0,x,Con_72,0,x
73,5,기습,0,0,x,Con_73,0,x
74,5,기습,0,0,x,Con_74,0,x
75,5,기습,0,0,x,Con_75,0,x
76,5,기습,0,0,x,Con_76,0,x
77,5,기습,0,0,x,Con_77,0,x
78,5,기습,0,0,x,Con_78,0,x
79,5,기습,0,0,x,Con_79,0,x
80,5,기습,0,0,x,Con_80,0,x
81,5,기습,0,0,x,Con_81,0,x
82,5,기습,0,0,x,Con_82,0,x
83,5,기습,0,0,x,Con_83,0,x
84,5,공격,0,0,x,Con_84,0,x
85,5,공격실패,0,0,x,Con_85,0,x
86,5,붙잡힘,0,0,x,Con_86,0,x
87,5,충돌,0,0,x,Con_87,0,x
88,6,거울의미로,0,0,x,Con_88,0,x
89,6,거울의미로,0,0,x,Con_89,0,x
90,6,거울의미로,0,0,x,Con_90,0,x
91,6,엔딩,0,0,x,Con_91,0,x
